iddomicilio;calle;altura;entrecalle1;entrecalle2;idbarrio
1271;AV 27 DE FEBRERO    ;3695;AV AMANCIO ALCORTA  ;AV CORRIENTES       ;6
1272;AV DE LOS ITALIANOS ;4750;AV BOYACA           ;AV COLOMBIA         ;2
1273;AV DEL CAMPO        ;4420;AV AMANCIO ALCORTA  ;AV DE LOS ITALIANOS ;9
1274;AV CNL NICETO VEGA  ;1752;AV COMODORO PY      ;AV DE MAYO          ;2
1275;AV DE LOS ITALIANOS ;348;AV CORBETA URUGUAY  ;AV DEL LIBERTADOR   ;9
1276;AV COBO             ;3632;AV DARACT           ;AV ALVEAR           ;4
1277;AV DIRECTORIO       ;4695;AV BELGRANO         ;AV CORDOBA          ;9
1278;AV CARLOS J FINLAY  ;3051;AV DE LAS CABALLERIZ;AV ALBARELLOS       ;6
1279;AV BRUIX            ;394;AV CORBETA URUGUAY  ;AV CORBETA URUGUAY  ;3
1280;AV CARABOBO         ;333;AV DE LOS INCAS     ;AV DE LA RABIDA     ;9
1281;AV COSTANERA INT HER;3608;AV DEL BARCO CENTENE;AV CANONIGO MIGUEL C;9
1282;AV CARABOBO         ;3025;AV CDORO MARTIN RIVA;AV DE MAYO          ;5
1283;AV DE LAS CABALLERIZ;3336;AV ALBARELLOS       ;AV COSTANERA INT HER;5
1284;AV DE LOS CONSTITUYE;455;AV CASARES          ;AV CHORROARIN       ;6
1285;AV ALVEAR           ;2620;AV BOYACA           ;AV ADOLFO BERRO     ;7
1286;AV CASEROS          ;669;AV ALVEAR           ;AV AVELLANEDA       ;6
1287;AV ASTURIAS         ;2651;AV COLOMBIA         ;AV DE LAS CABALLERIZ;11
1288;AV DIRECTORIO       ;4946;AV BOEDO            ;AV DERQUI           ;6
1289;AV DEL CAMPO        ;10;AV CARABOBO         ;AV DARACT           ;14
1290;AV ADOLFO BERRO     ;717;AV DE LA RABIDA     ;AV ASTURIAS         ;10
1291;AV ARGENTINA        ;4080;AV 27 DE FEBRERO    ;AV CDORO MARTIN RIVA;3
1292;AV AVELLANEDA       ;1374;AV CARLOS J FINLAY  ;AV CORRIENTES       ;10
1293;AV DE LOS ITALIANOS ;3901;AV CHICLANA         ;AV COSTANERA RAFAEL ;12
1294;AV DE LOS INCAS     ;4106;AV ALMTE BROWN      ;AV CORDOBA          ;14
1295;AV ALBARELLOS       ;202;AV DEL BARCO CENTENE;AV CANONIGO MIGUEL C;11
1296;AV ALVAREZ JONTE    ;1068;AV ALVEAR           ;AV DE LAS CABALLERIZ;14
1297;AV DEL FOMENTISTA   ;2303;AV DERQUI           ;AV DEL CAMPO        ;4
1298;AV CNL CARDENAS     ;3934;AV DE LOS CONSTITUYE;AV CALLAO           ;10
1299;AV ARGENTINA        ;2097;AV BOYACA           ;AV CNL NICETO VEGA  ;11
1300;AV COMODORO PY      ;2870;AV ARGENTINA        ;AV ARGENTINA        ;8
1301;AV BELGRANO         ;2417;AV CHORROARIN       ;AV BELGRANO         ;12
1302;AV CNL ROCA         ;4389;AV ARGENTINA        ;AV CANONIGO MIGUEL C;9
1303;AV CABILDO          ;2114;AV CORBETA URUGUAY  ;AV DERQUI           ;6
1304;AV COMODORO PY      ;689;AV ASTURIAS         ;AV CNL CARDENAS     ;8
1305;AV DEL BARCO CENTENE;108;AV CHORROARIN       ;AV BELGRANO         ;6
1306;AV CASARES          ;3359;AV DE LOS CONSTITUYE;AV DE LAS CABALLERIZ;1
1307;AV CASARES          ;1354;AV ASAMBLEA         ;AV DEL FOMENTISTA   ;8
1308;AV DE LOS INCAS     ;954;AV ALVAREZ JONTE BAJ;AV DE LA RABIDA     ;5
1309;AV CASEROS          ;2794;AV CORRIENTES       ;AV CASARES          ;6
1310;AV COMODORO PY      ;4751;AV CABILDO          ;AV BELGRANO         ;10
1311;AV ALMTE BROWN      ;902;AV CASARES          ;AV DEL BARCO CENTENE;12
1312;AV ASAMBLEA         ;2382;AV CHICLANA         ;AV CNL DIAZ         ;14
1313;AV DEL LIBERTADOR   ;4282;AV ALMTE BROWN      ;AV DE MAYO          ;10
1314;AV DE LAS CABALLERIZ;4163;AV DEL LIBERTADOR   ;AV DE LOS ITALIANOS ;12
1315;AV DARACT           ;929;AV CARABOBO         ;AV CDORO MARTIN RIVA;13
1316;AV ALVAREZ JONTE BAJ;1235;AV DE LOS INMIGRANTE;AV DARACT           ;6
1317;AV DE LOS CORRALES  ;4400;AV DEL CAMPO        ;AV DEL LIBERTADOR   ;10
1318;AV CRISOLOGO LARRALD;4607;AV CNL DIAZ         ;AV CDORO MARTIN RIVA;8
1319;AV 9 DE JULIO       ;4296;AV COSTANERA INT HER;AV ASAMBLEA         ;13
1320;AV DEL LIBERTADOR   ;1959;AV CRISOLOGO LARRALD;AV DE LOS ITALIANOS ;10
1321;AV DE MAYO          ;4820;AV CALLAO           ;AV CARLOS J FINLAY  ;10
1322;AV COSTANERA RAFAEL ;15;AV AVELLANEDA       ;AV ALVEAR           ;14
1323;AV CNL DIAZ         ;557;AV ALBARELLOS       ;AV ALVAREZ JONTE    ;14
1324;AV COSTANERA RAFAEL ;595;AV DE LOS INMIGRANTE;AV ALVAREZ THOMAS   ;4
1325;AV CNL NICETO VEGA  ;3477;AV COMODORO PY      ;AV ALBARELLOS       ;11
1326;AV CANONIGO MIGUEL C;2977;AV CDORO MARTIN RIVA;AV COSTANERA INT HER;10
1327;AV CURAPALIGUE      ;3044;AV CNL NICETO VEGA  ;AV CHICLANA         ;3
1328;AV COBO             ;3952;AV CASARES          ;AV ALMAFUERTE       ;9
1329;AV COLOMBIA         ;3247;AV BOYACA           ;AV CNL CARDENAS     ;11
1330;AV CNL ROCA         ;133;AV DIRECTORIO       ;AV DEL LIBERTADOR   ;12
1331;AV 27 DE FEBRERO    ;520;AV CRISOLOGO LARRALD;AV 9 DE JULIO       ;2
1332;AV CNL CARDENAS     ;2202;AV ALBARELLOS       ;AV CASARES          ;5
1333;AV CORDOBA          ;4070;AV BOYACA           ;AV CNL CARDENAS     ;11
1334;AV CNL DIAZ         ;1385;AV DE LA RABIDA     ;AV BRUIX            ;11
1335;AV CHORROARIN       ;159;AV CASARES          ;AV CANONIGO MIGUEL C;7
1336;AV CNL ROCA         ;3691;AV DIAZ VELEZ       ;AV ADOLFO BERRO     ;1
1337;AV ALVEAR           ;1906;AV ALMTE BROWN      ;AV 9 DE JULIO       ;11
1338;AV DE LAS CABALLERIZ;691;AV CORDOBA          ;AV AMANCIO ALCORTA  ;11
1339;AV ADOLFO BERRO     ;1605;AV COMODORO PY      ;AV DE LA RABIDA     ;6
1340;AV CHICLANA         ;257;AV ALBARELLOS       ;AV BRUIX            ;6
1341;AV CHICLANA         ;3379;AV DARACT           ;AV DE LAS CABALLERIZ;12
1342;AV ARGENTINA        ;4997;AV DIRECTORIO       ;AV DE LOS INMIGRANTE;12
1343;AV BELISARIO ROLDAN ;3460;AV CARLOS J FINLAY  ;AV CARLOS J FINLAY  ;6
1344;AV CRISOLOGO LARRALD;2799;AV CNL DIAZ         ;AV CURAPALIGUE      ;11
1345;AV DE MAYO          ;3635;AV COSTANERA INT HER;AV DEL LIBERTADOR   ;5
1346;AV CASEROS          ;2127;AV DE LOS CONSTITUYE;AV 27 DE FEBRERO    ;13
1347;AV ALVAREZ THOMAS   ;3794;AV DEL BARCO CENTENE;AV CRISOLOGO LARRALD;8
1348;AV BRUIX            ;3253;AV DARACT           ;AV COMODORO PY      ;4
1349;AV CASARES          ;4308;AV CASEROS          ;AV DE LAS CABALLERIZ;6
1350;AV DEL FOMENTISTA   ;2771;AV DEL FOMENTISTA   ;AV DARACT           ;11
1351;AV CNL DIAZ         ;2570;AV CASEROS          ;AV DE LA RABIDA     ;3
1352;AV CRISOLOGO LARRALD;1577;AV BELGRANO         ;AV DE LOS INMIGRANTE;9
1353;AV CNL CARDENAS     ;894;AV ALVEAR           ;AV DE LOS CONSTITUYE;10
1354;AV CRISOLOGO LARRALD;1743;AV DEL CAMPO        ;AV CHICLANA         ;13
1355;AV BRUIX            ;4087;AV DEL LIBERTADOR   ;AV CURAPALIGUE      ;10
1356;AV CRISOLOGO LARRALD;2598;AV CDORO MARTIN RIVA;AV DE LOS INMIGRANTE;14
1357;AV AVELLANEDA       ;4217;AV CHICLANA         ;AV DE LA RABIDA     ;2
1358;AV DEL CAMPO        ;3596;AV 9 DE JULIO       ;AV BRUIX            ;2
1359;AV DERQUI           ;1511;AV DE LOS CORRALES  ;AV CORBETA URUGUAY  ;7
1360;AV COLOMBIA         ;1035;AV ALVAREZ JONTE    ;AV ALBARELLOS       ;14
1361;AV DEL FOMENTISTA   ;1266;AV CNL ROCA         ;AV DERQUI           ;4
1362;AV CASARES          ;3379;AV ALBARELLOS       ;AV CABILDO          ;14
1363;AV CNL CARDENAS     ;3274;AV DE LOS ITALIANOS ;AV ALVAREZ JONTE    ;9
1364;AV DE LAS CABALLERIZ;1157;AV CARABOBO         ;AV ALVAREZ THOMAS   ;1
1365;AV DEL CAMPO        ;4452;AV COSTANERA RAFAEL ;AV DE LOS CONSTITUYE;6
1366;AV CNL NICETO VEGA  ;4578;AV CORBETA URUGUAY  ;AV DE LOS CORRALES  ;5
1367;AV ARGENTINA        ;2750;AV CORRIENTES       ;AV DIRECTORIO       ;6
1368;AV CASARES          ;3221;AV CRISOLOGO LARRALD;AV DE LOS ITALIANOS ;8
1369;AV COBO             ;1864;AV COLOMBIA         ;AV CNL CARDENAS     ;10
1370;AV BOEDO            ;2984;AV DE LAS CABALLERIZ;AV DIAZ VELEZ       ;11
1371;AV DARACT           ;4082;AV CHORROARIN       ;AV BELISARIO ROLDAN ;9
1372;AV DE LAS CABALLERIZ;4417;AV 9 DE JULIO       ;AV ADOLFO BERRO     ;11
1373;AV DE MAYO          ;1247;AV DE LOS ITALIANOS ;AV BELISARIO ROLDAN ;7
1374;AV CNL NICETO VEGA  ;25;AV CARLOS J FINLAY  ;AV DIRECTORIO       ;3
1375;AV CNL DIAZ         ;3158;AV DEL CAMPO        ;AV ASAMBLEA         ;5
1376;AV ALVAREZ JONTE BAJ;300;AV ALMTE BROWN      ;AV ASAMBLEA         ;11
1377;AV DIRECTORIO       ;4585;AV COBO             ;AV AVELLANEDA       ;4
1378;AV ARGENTINA        ;3405;AV ALVAREZ JONTE    ;AV CNL DIAZ         ;1
1379;AV ALVAREZ THOMAS   ;1974;AV COBO             ;AV CORBETA URUGUAY  ;13
1380;AV CANONIGO MIGUEL C;1331;AV BOYACA           ;AV DIRECTORIO       ;8
1381;AV COMODORO PY      ;3026;AV CDORO MARTIN RIVA;AV CASEROS          ;14
1382;AV COBO             ;3528;AV CNL CARDENAS     ;AV 27 DE FEBRERO    ;13
1383;AV DIRECTORIO       ;500;AV BOEDO            ;AV CNL NICETO VEGA  ;5
1384;AV ASTURIAS         ;2123;AV DIAZ VELEZ       ;AV CORRIENTES       ;8
1385;AV ALMAFUERTE       ;1879;AV DIAZ VELEZ       ;AV ALVAREZ THOMAS   ;2
1386;AV COSTANERA INT HER;4916;AV DEL LIBERTADOR   ;AV CORDOBA          ;7
1387;AV COBO             ;3255;AV AMANCIO ALCORTA  ;AV BELGRANO         ;11
1388;AV CRISOLOGO LARRALD;3642;AV DEL CAMPO        ;AV BRUIX            ;11
1389;AV CORRIENTES       ;2428;AV ALVAREZ THOMAS   ;AV BELISARIO ROLDAN ;12
1390;AV CALLAO           ;3103;AV DE LOS CONSTITUYE;AV ALBARELLOS       ;1
1391;AV BOEDO            ;1753;AV AMANCIO ALCORTA  ;AV CHICLANA         ;6
1392;AV ALMAFUERTE       ;2035;AV ALVAREZ THOMAS   ;AV COBO             ;11
1393;AV CHORROARIN       ;393;AV BELISARIO ROLDAN ;AV CNL CARDENAS     ;5
1394;AV DE LA RABIDA     ;3415;AV BOYACA           ;AV ALVAREZ THOMAS   ;11
1395;AV DE LOS CORRALES  ;288;AV DIRECTORIO       ;AV COMODORO PY      ;10
1396;AV CORRIENTES       ;3642;AV ALMTE BROWN      ;AV DE LOS CONSTITUYE;3
1397;AV CABILDO          ;4131;AV CNL DIAZ         ;AV BOEDO            ;2
1398;AV CNL ROCA         ;125;AV CURAPALIGUE      ;AV DE LOS INCAS     ;1
1399;AV COSTANERA RAFAEL ;3097;AV DE MAYO          ;AV CRISOLOGO LARRALD;8
1400;AV DE LOS CORRALES  ;1056;AV CORRIENTES       ;AV DE LOS CONSTITUYE;13
1401;AV DIRECTORIO       ;2583;AV DARACT           ;AV CNL ROCA         ;12
1402;AV CABILDO          ;1264;AV CNL CARDENAS     ;AV ALVAREZ JONTE BAJ;5
1403;AV CANONIGO MIGUEL C;3369;AV 27 DE FEBRERO    ;AV ALBARELLOS       ;6
1404;AV CORRIENTES       ;4002;AV CORRIENTES       ;AV DE LOS ITALIANOS ;5
1405;AV DARACT           ;907;AV COMODORO PY      ;AV COSTANERA INT HER;6
1406;AV DIAZ VELEZ       ;4560;AV DE LOS INMIGRANTE;AV CNL DIAZ         ;8
1407;AV DE LOS CONSTITUYE;1110;AV CNL CARDENAS     ;AV DE LAS CABALLERIZ;10
1408;AV CORBETA URUGUAY  ;3375;AV 27 DE FEBRERO    ;AV ALBARELLOS       ;14
1409;AV AMANCIO ALCORTA  ;1264;AV DE LOS INMIGRANTE;AV BELGRANO         ;10
1410;AV CANONIGO MIGUEL C;753;AV DE LOS CORRALES  ;AV ASTURIAS         ;7
1411;AV ALVEAR           ;4433;AV ALVAREZ JONTE BAJ;AV ASTURIAS         ;2
1412;AV CNL ROCA         ;3459;AV COSTANERA RAFAEL ;AV COSTANERA INT HER;8
1413;AV CRISOLOGO LARRALD;583;AV BELGRANO         ;AV CNL DIAZ         ;8
1414;AV CORBETA URUGUAY  ;2780;AV CARABOBO         ;AV COMODORO PY      ;9
1415;AV DE LOS INMIGRANTE;3803;AV DE LOS INCAS     ;AV CURAPALIGUE      ;13
1416;AV AMANCIO ALCORTA  ;4280;AV ASTURIAS         ;AV CDORO MARTIN RIVA;14
1417;AV CANONIGO MIGUEL C;1393;AV DERQUI           ;AV ALMAFUERTE       ;4
1418;AV COLOMBIA         ;2596;AV BRUIX            ;AV CARLOS J FINLAY  ;13
1419;AV DEL LIBERTADOR   ;2620;AV DE MAYO          ;AV CURAPALIGUE      ;4
1420;AV ASTURIAS         ;4160;AV CDORO MARTIN RIVA;AV DE LOS INCAS     ;14
1421;AV COMODORO PY      ;2174;AV COMODORO PY      ;AV DE LA RABIDA     ;10
1422;AV CRISOLOGO LARRALD;1658;AV CALLAO           ;AV COSTANERA RAFAEL ;5
1423;AV COSTANERA RAFAEL ;4021;AV AVELLANEDA       ;AV ALVAREZ JONTE    ;12
1424;AV CARLOS J FINLAY  ;3950;AV AMANCIO ALCORTA  ;AV COSTANERA INT HER;7
1425;AV DE LOS INCAS     ;3306;AV CNL DIAZ         ;AV ASAMBLEA         ;5
1426;AV DEL CAMPO        ;2504;AV DE MAYO          ;AV CRISOLOGO LARRALD;8
1427;AV ALVAREZ JONTE BAJ;3680;AV BELGRANO         ;AV COMODORO PY      ;8
1428;AV DEL BARCO CENTENE;4325;AV DEL LIBERTADOR   ;AV BELISARIO ROLDAN ;4
1429;AV CHICLANA         ;1924;AV BRUIX            ;AV CANONIGO MIGUEL C;4
1430;AV DIAZ VELEZ       ;1158;AV ASTURIAS         ;AV BRUIX            ;12
1431;AV AVELLANEDA       ;4510;AV DE LOS CORRALES  ;AV BOEDO            ;4
1432;AV DE LOS ITALIANOS ;739;AV CNL NICETO VEGA  ;AV DIRECTORIO       ;14
1433;AV DEL CAMPO        ;2673;AV BOYACA           ;AV CNL ROCA         ;9
1434;AV BRUIX            ;110;AV COBO             ;AV ADOLFO BERRO     ;9
1435;AV DARACT           ;2360;AV DE LAS CABALLERIZ;AV CDORO MARTIN RIVA;10
1436;AV BOEDO            ;2049;AV ALBARELLOS       ;AV BOYACA           ;9
1437;AV DE LOS INMIGRANTE;615;AV CANONIGO MIGUEL C;AV 9 DE JULIO       ;13
1438;AV COSTANERA RAFAEL ;4641;AV ARGENTINA        ;AV ALVAREZ THOMAS   ;12
1439;AV CDORO MARTIN RIVA;806;AV DE LA RABIDA     ;AV DEL BARCO CENTENE;12
1440;AV CANONIGO MIGUEL C;3041;AV DEL CAMPO        ;AV ALVEAR           ;5
1441;AV AVELLANEDA       ;1277;AV CASEROS          ;AV CORRIENTES       ;2
1442;AV CNL ROCA         ;2362;AV DEL CAMPO        ;AV CNL CARDENAS     ;6
1443;AV AMANCIO ALCORTA  ;1475;AV COLOMBIA         ;AV DEL LIBERTADOR   ;13
1444;AV CDORO MARTIN RIVA;3769;AV CNL DIAZ         ;AV BELISARIO ROLDAN ;3
1445;AV CORDOBA          ;507;AV BRUIX            ;AV CASARES          ;3
1446;AV DE LOS CORRALES  ;899;AV CHORROARIN       ;AV DE LOS INCAS     ;9
1447;AV 9 DE JULIO       ;197;AV AVELLANEDA       ;AV CORRIENTES       ;9
1448;AV DE LAS CABALLERIZ;2583;AV DARACT           ;AV CASARES          ;6
1449;AV CORRIENTES       ;158;AV CORDOBA          ;AV AMANCIO ALCORTA  ;12
1450;AV AMANCIO ALCORTA  ;3274;AV BELGRANO         ;AV CASARES          ;13
1451;AV DIAZ VELEZ       ;4930;AV CRISOLOGO LARRALD;AV 9 DE JULIO       ;7
1452;AV DEL FOMENTISTA   ;989;AV ALMAFUERTE       ;AV DEL CAMPO        ;8
1453;AV ASTURIAS         ;1169;AV CARLOS J FINLAY  ;AV ALVAREZ JONTE    ;14
1454;AV CARABOBO         ;4931;AV DE LOS CONSTITUYE;AV BRUIX            ;4
1455;AV COBO             ;4329;AV CORRIENTES       ;AV 9 DE JULIO       ;14
1456;AV CARLOS J FINLAY  ;264;AV DEL FOMENTISTA   ;AV CDORO MARTIN RIVA;10
1457;AV CARABOBO         ;1553;AV ALMAFUERTE       ;AV ASAMBLEA         ;4
1458;AV CASEROS          ;1251;AV CORBETA URUGUAY  ;AV DE MAYO          ;7
1459;AV ALMAFUERTE       ;2141;AV BELISARIO ROLDAN ;AV ALVAREZ JONTE BAJ;8
1460;AV DE LOS INMIGRANTE;4618;AV BOEDO            ;AV CARABOBO         ;7
1461;AV COLOMBIA         ;1107;AV AMANCIO ALCORTA  ;AV DARACT           ;9
1462;AV CALLAO           ;1109;AV ASAMBLEA         ;AV DERQUI           ;10
1463;AV ASTURIAS         ;2262;AV BELGRANO         ;AV COBO             ;1
1464;AV CNL CARDENAS     ;3122;AV ASTURIAS         ;AV 27 DE FEBRERO    ;7
1465;AV BELGRANO         ;2788;AV CORRIENTES       ;AV CNL NICETO VEGA  ;6
1466;AV ARGENTINA        ;2747;AV BOYACA           ;AV CDORO MARTIN RIVA;7
1467;AV CDORO MARTIN RIVA;1363;AV CHICLANA         ;AV BELISARIO ROLDAN ;3
1468;AV DE LOS INMIGRANTE;4271;AV CNL DIAZ         ;AV DEL CAMPO        ;7
1469;AV CNL ROCA         ;2319;AV COBO             ;AV BELGRANO         ;9
1470;AV ALVEAR           ;1399;AV ALVAREZ JONTE    ;AV CNL DIAZ         ;12
1471;AV CASARES          ;1414;AV DE LOS INCAS     ;AV ASTURIAS         ;8
1472;AV CORRIENTES       ;2413;AV DEL FOMENTISTA   ;AV CARLOS J FINLAY  ;14
1473;AV CORDOBA          ;4268;AV BOYACA           ;AV DE LOS INCAS     ;14
1474;AV BOYACA           ;3806;AV CANONIGO MIGUEL C;AV ALBARELLOS       ;11
1475;AV AMANCIO ALCORTA  ;124;AV COLOMBIA         ;AV ALVAREZ JONTE    ;5
1476;AV CALLAO           ;2121;AV 9 DE JULIO       ;AV DE LAS CABALLERIZ;10
1477;AV DIRECTORIO       ;4497;AV ASAMBLEA         ;AV DE LOS ITALIANOS ;3
1478;AV CHICLANA         ;4523;AV ALMAFUERTE       ;AV BELISARIO ROLDAN ;2
1479;AV DE LOS CONSTITUYE;4084;AV DE LOS INCAS     ;AV ASTURIAS         ;3
1480;AV CARABOBO         ;3826;AV DE LOS INCAS     ;AV CANONIGO MIGUEL C;11
1481;AV CARLOS J FINLAY  ;957;AV COMODORO PY      ;AV DE LOS INCAS     ;6
1482;AV ALVAREZ THOMAS   ;4544;AV ALMTE BROWN      ;AV ALVAREZ JONTE    ;5
1483;AV CARLOS J FINLAY  ;4289;AV BOEDO            ;AV DE LOS CONSTITUYE;11
1484;AV CORBETA URUGUAY  ;2389;AV CHICLANA         ;AV ALVAREZ THOMAS   ;9
1485;AV DARACT           ;2457;AV CHICLANA         ;AV DE LOS CONSTITUYE;14
1486;AV DE LA RABIDA     ;2759;AV ALMTE BROWN      ;AV CDORO MARTIN RIVA;2
1487;AV COBO             ;798;AV CASEROS          ;AV BRUIX            ;12
1488;AV CNL CARDENAS     ;4719;AV DEL FOMENTISTA   ;AV CURAPALIGUE      ;1
1489;AV BRUIX            ;310;AV DEL CAMPO        ;AV COSTANERA RAFAEL ;4
1490;AV COSTANERA INT HER;3573;AV CNL DIAZ         ;AV ASAMBLEA         ;8
1491;AV CASEROS          ;1384;AV CDORO MARTIN RIVA;AV ALVAREZ JONTE    ;5
1492;AV DEL BARCO CENTENE;91;AV DE LOS CONSTITUYE;AV ALVEAR           ;13
1493;AV CURAPALIGUE      ;4713;AV 9 DE JULIO       ;AV DE LA RABIDA     ;6
1494;AV 9 DE JULIO       ;4052;AV DARACT           ;AV COSTANERA RAFAEL ;3
1495;AV CABILDO          ;2294;AV CRISOLOGO LARRALD;AV DE LOS INMIGRANTE;4
1496;AV DE LOS ITALIANOS ;4725;AV BELISARIO ROLDAN ;AV CALLAO           ;7
1497;AV ARGENTINA        ;4713;AV ALVEAR           ;AV CNL ROCA         ;1
1498;AV DERQUI           ;2238;AV DIRECTORIO       ;AV DE LOS ITALIANOS ;5
1499;AV ALBARELLOS       ;2210;AV ALVAREZ JONTE    ;AV DE LAS CABALLERIZ;1
1500;AV DE MAYO          ;1960;AV ALVAREZ JONTE BAJ;AV BELISARIO ROLDAN ;10
1501;AV ASAMBLEA         ;234;AV CASEROS          ;AV DIAZ VELEZ       ;3
1502;AV CORBETA URUGUAY  ;2447;AV DE LOS ITALIANOS ;AV DE MAYO          ;1
1503;AV DIRECTORIO       ;1455;AV DE LOS INCAS     ;AV DE LA RABIDA     ;4
1504;AV DIAZ VELEZ       ;122;AV ALVEAR           ;AV ALMAFUERTE       ;11
1505;AV ADOLFO BERRO     ;1532;AV CNL DIAZ         ;AV ALMTE BROWN      ;8
1506;AV CABILDO          ;4303;AV DERQUI           ;AV 9 DE JULIO       ;13
1507;AV COMODORO PY      ;1232;AV CNL DIAZ         ;AV BELISARIO ROLDAN ;6
1508;AV DE LOS ITALIANOS ;728;AV DEL LIBERTADOR   ;AV CASARES          ;3
1509;AV CARABOBO         ;1284;AV DE LOS CORRALES  ;AV COSTANERA RAFAEL ;6
1510;AV CDORO MARTIN RIVA;526;AV CNL DIAZ         ;AV DEL BARCO CENTENE;9
1511;AV ALVAREZ THOMAS   ;3023;AV BELISARIO ROLDAN ;AV COSTANERA INT HER;6
1512;AV AMANCIO ALCORTA  ;3576;AV BRUIX            ;AV DEL LIBERTADOR   ;13
1513;AV BELISARIO ROLDAN ;160;AV CRISOLOGO LARRALD;AV DE LOS INCAS     ;7
1514;AV CARABOBO         ;4148;AV DE LOS ITALIANOS ;AV COSTANERA RAFAEL ;13
1515;AV BELGRANO         ;3345;AV ADOLFO BERRO     ;AV BRUIX            ;11
1516;AV DEL BARCO CENTENE;694;AV DEL LIBERTADOR   ;AV AMANCIO ALCORTA  ;10
1517;AV ASAMBLEA         ;1162;AV CNL NICETO VEGA  ;AV DE LOS CONSTITUYE;9
1518;AV CHORROARIN       ;122;AV DE LOS INMIGRANTE;AV ASTURIAS         ;6
1519;AV BOYACA           ;3132;AV COMODORO PY      ;AV CALLAO           ;9
1520;AV CALLAO           ;2805;AV CNL NICETO VEGA  ;AV COSTANERA RAFAEL ;13
1521;AV CORRIENTES       ;4426;AV DE LOS INMIGRANTE;AV BOEDO            ;5
1522;AV ALVAREZ JONTE    ;4187;AV ARGENTINA        ;AV CNL DIAZ         ;13
1523;AV COBO             ;2817;AV COLOMBIA         ;AV DERQUI           ;10
1524;AV ALBARELLOS       ;441;AV CABILDO          ;AV ADOLFO BERRO     ;1
1525;AV 27 DE FEBRERO    ;3174;AV DIAZ VELEZ       ;AV DIAZ VELEZ       ;5
1526;AV CANONIGO MIGUEL C;445;AV CORRIENTES       ;AV BOYACA           ;8
1527;AV CABILDO          ;4438;AV BOYACA           ;AV COSTANERA RAFAEL ;10
1528;AV DE LOS CONSTITUYE;4131;AV CNL NICETO VEGA  ;AV DIAZ VELEZ       ;3
1529;AV CASARES          ;2497;AV ASTURIAS         ;AV DE LOS CORRALES  ;1
1530;AV BELISARIO ROLDAN ;4085;AV DE MAYO          ;AV DEL CAMPO        ;1
1531;AV ALVAREZ JONTE    ;2268;AV CARABOBO         ;AV CASARES          ;8
1532;AV DE LA RABIDA     ;2172;AV DE LOS INMIGRANTE;AV ADOLFO BERRO     ;6
1533;AV CANONIGO MIGUEL C;606;AV BOYACA           ;AV CASARES          ;14
1534;AV DE LOS INMIGRANTE;4067;AV ASTURIAS         ;AV AMANCIO ALCORTA  ;3
1535;AV CORDOBA          ;2227;AV DE LOS CORRALES  ;AV ALVAREZ JONTE BAJ;1
1536;AV DEL LIBERTADOR   ;4635;AV ALBARELLOS       ;AV DIAZ VELEZ       ;8
1537;AV DEL BARCO CENTENE;1749;AV CASEROS          ;AV DIRECTORIO       ;2
1538;AV COLOMBIA         ;1711;AV CORBETA URUGUAY  ;AV COBO             ;3
1539;AV ADOLFO BERRO     ;2473;AV DE LA RABIDA     ;AV CNL ROCA         ;6
1540;AV DE LA RABIDA     ;2119;AV AMANCIO ALCORTA  ;AV DE LOS CONSTITUYE;6
1541;AV BELISARIO ROLDAN ;1059;AV 27 DE FEBRERO    ;AV ALVEAR           ;5
1542;AV CORRIENTES       ;4076;AV DE MAYO          ;AV DEL FOMENTISTA   ;7
1543;AV CARLOS J FINLAY  ;2264;AV CORDOBA          ;AV ALVAREZ JONTE BAJ;1
1544;AV CASEROS          ;2068;AV BELISARIO ROLDAN ;AV DE LOS ITALIANOS ;2
1545;AV CHICLANA         ;3648;AV DE LOS ITALIANOS ;AV ALMTE BROWN      ;10
1546;AV DE LAS CABALLERIZ;3299;AV DIRECTORIO       ;AV DE MAYO          ;6
1547;AV CHICLANA         ;276;AV CORBETA URUGUAY  ;AV CURAPALIGUE      ;7
1548;AV BELGRANO         ;314;AV COSTANERA INT HER;AV DE LAS CABALLERIZ;11
1549;AV COLOMBIA         ;4789;AV CASEROS          ;AV CANONIGO MIGUEL C;5
1550;AV COLOMBIA         ;4020;AV BELISARIO ROLDAN ;AV COMODORO PY      ;7
1551;AV CALLAO           ;977;AV AVELLANEDA       ;AV CRISOLOGO LARRALD;1
1552;AV CABILDO          ;2707;AV CRISOLOGO LARRALD;AV ADOLFO BERRO     ;2
1553;AV CASARES          ;1339;AV BOEDO            ;AV DEL FOMENTISTA   ;10
1554;AV DE LA RABIDA     ;2880;AV AMANCIO ALCORTA  ;AV DE LOS INMIGRANTE;3
1555;AV COBO             ;1969;AV DE LAS CABALLERIZ;AV AMANCIO ALCORTA  ;4
1556;AV CORBETA URUGUAY  ;1163;AV CHICLANA         ;AV CASARES          ;1
1557;AV ALVAREZ THOMAS   ;4553;AV ALBARELLOS       ;AV COLOMBIA         ;7
1558;AV DE LOS INMIGRANTE;2253;AV CORDOBA          ;AV DE LOS INMIGRANTE;11
1559;AV CALLAO           ;829;AV ALBARELLOS       ;AV CORBETA URUGUAY  ;2
1560;AV DIRECTORIO       ;4874;AV ALVAREZ JONTE    ;AV CURAPALIGUE      ;6
